"gene_id"	"C1A"	"C1B"	"C2A"	"C2B"	"C5A"	"C5B"	"H1A"	"H1B"	"H2A"	"H2B"	"H5A"	"H5B"
"__alignment_not_unique"	0	0	0	0	0	0	0	0	0	0	0	0
"__ambiguous"	1144174	1197017	778833	686067	1466932	733694	996423	1150745	839902	527552	1039751	561750
"__no_feature"	4372888	4816899	3201815	2624191	5820210	3981731	4039470	5548165	4209503	2182848	5159366	1800834
"__not_aligned"	1344648	1599715	1226090	1519487	2619711	1304554	1191369	1617738	1449950	935942	1922193	828542
"__too_low_aQual"	3455588	2326401	1188376	809571	2150396	1121160	1621629	2360175	1357643	827245	2293818	785291
"XM_020744737.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744738.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744739.1"	23	16	1	3	6	12	1	10	2	10	5	2
"XM_020744740.1"	0	0	0	0	2	1	0	4	0	0	2	0
"XM_020744741.1"	4	5	0	4	7	1	0	0	1	3	4	0
"XM_020744742.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744743.1"	2	6	0	0	0	0	20	3	0	0	0	0
"XM_020744744.1"	1708	1300	870	672	1910	1146	1012	988	816	526	1273	760
"XM_020744745.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744746.1"	16	23	0	0	2	0	1	13	1	2	8	2
"XM_020744747.1"	27	48	27	8	47	28	38	55	39	20	42	36
"XM_020744748.1"	0	0	0	0	0	0	0	0	1	0	1	0
"XM_020744749.1"	100	184	108	74	107	49	151	197	142	56	47	12
"XM_020744750.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744751.1"	136	134	61	16	119	35	58	92	80	57	102	34
"XM_020744752.1"	11	27	9	11	12	4	6	8	8	22	8	0
"XM_020744753.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744754.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744755.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744756.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744757.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744758.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744759.1"	0	13	0	1	8	0	0	2	0	1	1	0
"XM_020744760.1"	8	4	1	0	1	1	4	6	6	3	4	0
"XM_020744761.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744762.1"	0	1	0	1	0	0	0	0	1	0	0	0
"XM_020744763.1"	102	122	177	174	198	101	164	139	102	87	90	95
"XM_020744764.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744765.1"	33	6	11	19	14	6	17	29	6	5	12	2
"XM_020744766.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744767.1"	5	22	3	20	40	9	6	10	7	8	28	0
"XM_020744768.1"	440	589	172	203	404	214	418	310	197	130	377	286
"XM_020744769.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744770.1"	56	80	33	62	91	35	97	218	41	32	120	11
"XM_020744771.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744772.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744773.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744774.1"	3	4	3	2	1	3	2	5	1	2	1	1
"XM_020744775.1"	343	452	68	71	344	122	235	286	92	26	164	134
"XM_020744776.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744777.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744778.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744779.1"	331	312	107	161	222	135	76	121	108	69	71	44
"XM_020744780.1"	14	15	7	1	16	7	3	6	1	0	3	3
"XM_020744781.1"	26	36	27	44	62	30	22	27	15	37	40	15
"XM_020744782.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744783.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744784.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744785.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744786.1"	4	11	36	10	31	5	5	2	18	9	11	0
"XM_020744787.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744788.1"	34	26	43	36	48	34	16	32	34	25	24	10
"XM_020744789.1"	3	0	13	4	17	9	1	0	0	0	4	0
"XM_020744790.1"	365	485	645	279	693	352	385	365	516	218	458	257
"XM_020744791.1"	1575	1354	417	361	780	374	706	706	500	384	1058	215
"XM_020744792.1"	69	45	22	22	52	8	35	58	13	16	16	2
"XM_020744793.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744794.1"	13	22	1	0	0	0	4	0	0	2	0	0
"XM_020744795.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744796.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744797.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744798.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744799.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744800.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744801.1"	17	25	22	6	22	3	12	6	8	6	7	2
"XM_020744802.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744803.1"	15	28	2	9	15	22	22	20	2	7	52	2
"XM_020744804.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744805.1"	37	21	20	10	27	3	4	36	1	4	0	1
"XM_020744806.1"	3	2	10	6	4	2	9	4	2	1	5	2
"XM_020744807.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744808.1"	0	1	2	0	15	1	0	1	0	0	6	0
"XM_020744809.1"	1	5	4	2	12	7	28	50	12	7	11	0
"XM_020744810.1"	6	8	4	17	8	14	4	9	17	0	2	2
"XM_020744811.1"	63	101	40	39	177	80	83	71	54	20	24	5
"XM_020744812.1"	15	8	1	8	11	1	9	27	23	6	1	0
"XM_020744813.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744814.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744815.1"	149	138	43	170	448	91	242	474	144	34	99	96
"XM_020744816.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744817.1"	114	168	227	212	742	298	149	144	121	213	249	1367
"XM_020744818.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744819.1"	204	236	246	240	624	286	156	234	176	120	250	238
"XM_020744820.1"	0	1	0	0	1	0	0	0	0	0	0	0
"XM_020744821.1"	0	2	0	1	12	0	0	1	1	0	0	0
"XM_020744822.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744823.1"	18	40	25	26	32	17	19	26	19	9	16	12
"XM_020744824.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744825.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744826.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744827.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744828.1"	258	148	29	29	4	5	50	90	28	3	1	0
"XM_020744829.1"	1	5	0	0	0	0	6	3	0	0	1	0
"XM_020744830.1"	1	0	0	0	0	0	0	0	0	0	0	0
"XM_020744831.1"	339	422	272	277	535	279	293	351	247	155	244	165
"XM_020744832.1"	1	0	0	0	0	0	0	0	0	0	0	0
"XM_020744833.1"	58	47	40	29	142	23	186	145	105	23	35	6
"XM_020744834.1"	73	142	110	154	234	101	83	86	73	58	51	10
"XM_020744835.1"	128	126	41	34	131	96	80	97	29	53	74	83
"XM_020744836.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744837.1"	0	0	0	1	0	0	0	0	0	0	0	0
"XM_020744838.1"	46	32	32	28	55	10	14	39	8	11	8	2
"XM_020744839.1"	37	31	32	28	38	32	42	51	21	14	41	2
"XM_020744840.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744841.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744842.1"	653	296	47	89	455	169	562	498	103	127	222	189
"XM_020744843.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744844.1"	0	0	0	0	0	0	1	0	0	0	0	0
"XM_020744845.1"	256	213	104	75	294	100	231	314	63	47	78	124
"XM_020744846.1"	116	135	41	49	160	57	115	100	69	59	38	82
"XM_020744847.1"	344	440	204	141	536	229	221	334	91	111	200	203
"XM_020744848.1"	3	4	10	16	16	6	8	5	5	0	0	1
"XM_020744849.1"	2	0	0	0	0	0	0	0	0	0	0	0
"XM_020744850.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744851.1"	51	69	60	41	32	13	27	26	29	18	8	10
"XM_020744852.1"	27	54	44	20	40	28	37	43	26	11	85	0
"XM_020744853.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744854.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744855.1"	86	144	61	68	113	51	77	68	31	35	93	7
"XM_020744856.1"	7	21	20	20	22	20	11	33	0	11	6	0
"XM_020744857.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744858.1"	52	46	15	16	71	38	28	44	7	13	39	21
"XM_020744859.1"	1230	1584	1229	1174	2386	1411	741	839	584	344	729	385
"XM_020744860.1"	0	1	1	0	1	1	1	0	0	0	0	0
"XM_020744861.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744862.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744863.1"	8	3	3	3	16	5	3	7	22	5	9	1
"XM_020744864.1"	20	5	9	16	38	9	6	16	8	3	13	4
"XM_020744865.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744866.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744867.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744868.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744869.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744870.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744871.1"	97	208	110	146	211	130	145	155	111	77	108	64
"XM_020744872.1"	51	129	75	140	201	88	73	80	88	39	117	5
"XM_020744873.1"	11	21	0	5	6	4	0	5	0	27	3	0
"XM_020744874.1"	62	92	41	51	108	37	67	68	10	23	55	2
"XM_020744875.1"	248	257	166	198	291	125	183	188	135	113	125	102
"XM_020744876.1"	8	7	7	9	6	3	0	6	4	3	9	4
"XM_020744877.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744878.1"	59	47	65	73	68	16	18	78	51	21	16	12
"XM_020744879.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744880.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744881.1"	0	0	0	0	0	0	0	0	0	0	0	0
"XM_020744882.1"	217	199	96	99	238	74	238	179	83	59	127	43
"XM_020744883.1"	5439	5661	4834	3383	6526	3643	4720	4663	4803	2441	3960	3423
