"gene_id"	"C1A"	"C1B"	"C2A"	"C2B"	"C5A"	"C5B"	"H1A"	"H1B"	"H2A"	"H2B"	"H5A"	"H5B"
"__alignment_not_unique"	0	0	0	0	0	0	0	0	0	0	0	0
"__ambiguous"	5511	8026	5123	3810	9142	9145	4995	9148	7801	3193	8668	1752
"__no_feature"	7960656	8383080	5442857	4729188	9899857	5391744	7416968	8767373	6420403	3729735	7907491	3656806
"__not_aligned"	1344648	1599715	1226090	1519487	2619711	1304554	1191369	1617738	1449950	935942	1922193	828542
"__too_low_aQual"	3455588	2326401	1188376	809571	2150396	1121160	1621629	2360175	1357643	827245	2293818	785291
"g1"	28	48	26	15	58	22	12	60	38	6	45	2
"g10"	0	0	0	0	1	0	0	0	0	0	0	0
"g100"	4	4	8	0	19	1	4	19	12	0	2	0
"g1000"	40	64	21	10	32	27	23	43	30	16	39	3
"g10000"	120	175	115	85	184	157	82	176	150	54	186	45
"g10001"	15	22	5	11	28	6	4	47	16	8	23	3
"g10002"	0	1	2	2	2	3	0	0	0	0	1	0
"g10003"	6	5	5	0	1	0	2	8	1	0	2	0
"g10004"	0	0	0	0	0	0	0	0	0	0	0	0
"g10005"	57	88	21	46	64	31	38	92	83	44	82	17
"g10006"	6	0	0	0	0	0	0	0	0	0	0	0
"g10007"	3	2	0	1	4	3	1	0	2	0	5	0
"g10008"	1	0	0	0	2	2	0	0	0	0	0	0
"g10009"	3	16	12	3	16	14	7	21	12	8	8	0
"g1001"	0	0	0	0	0	0	1	0	0	0	0	0
"g10010"	0	0	0	0	0	0	0	1	0	0	0	0
"g10011"	97	158	131	55	167	158	103	210	137	90	164	22
"g10012"	8	22	17	2	6	28	6	22	9	10	27	3
"g10013"	0	1	0	0	0	0	2	0	0	0	1	0
"g10014"	0	30	11	11	47	36	11	53	20	18	17	0
"g10015"	0	0	0	0	0	0	0	0	0	0	0	0
"g10016"	0	0	0	0	0	0	0	3	0	0	1	0
"g10017"	0	0	0	0	0	0	0	0	0	0	0	0
"g10018"	39	47	44	45	66	44	32	50	75	37	79	10
"g10019"	0	0	0	0	0	0	0	0	1	0	0	0
"g1002"	103	168	71	56	161	149	76	120	104	53	145	29
"g10020"	57	96	62	31	99	91	43	121	100	38	95	15
"g10021"	0	0	2	0	0	0	0	1	0	4	0	0
"g10022"	0	2	3	1	1	0	0	0	0	0	0	0
"g10023"	18	11	4	1	27	16	15	11	20	4	9	0
"g10024"	0	3	0	3	3	0	2	2	3	1	2	0
"g10025"	0	0	0	0	0	0	0	0	0	0	0	0
